name,topic,eval_link
ACTAsia,"['Fur Industry', 'General Animal Advocacy', 'Capacity Building']",https://animalcharityevaluators.org/charity-review/actasia/
Animal Rights Center Japan,['General Animal Advocacy'],https://animalcharityevaluators.org/charity-review/animal-rights-center-japan/
Çiftlik Hayvanlarını Koruma Derneği,"['Industrial Agriculture', 'Capacity Building']",https://animalcharityevaluators.org/charity-review/ciftlik-hayvanlarini-koruma-dernegi/
Dansk Vegetarisk Forening,"['Capacity Building', 'Cultured and Plant-Based Food Tech']",https://animalcharityevaluators.org/charity-review/dansk-vegetarisk-forening/
Dharma Voices for Animals,"['General Animal Advocacy', 'Veterinary', 'Legal and Legislative']",https://animalcharityevaluators.org/charity-review/dharma-voices-for-animals/
Faunalytics,"['Capacity Building', 'Reducing Wild Animal Suffering', 'General Animal Advocacy', 'Industrial Agriculture']",https://animalcharityevaluators.org/charity-review/faunalytics/
Fish Welfare Initiative,"['Industrial Agriculture', 'Capacity Building']",https://animalcharityevaluators.org/charity-review/fish-welfare-initiative/
Fórum Nacional de Proteção e Defesa Animal,"['Industrial Agriculture', 'General Animal Advocacy']",https://animalcharityevaluators.org/charity-review/forum-animal/
Legal Impact for Chickens,"['Legal and Legislative', 'Capacity Building']",https://animalcharityevaluators.org/charity-review/legal-impact-for-chickens/
Mercy For Animals,"['Industrial Agriculture', 'General Animal Advocacy']",https://animalcharityevaluators.org/charity-review/mercy-for-animals/
New Harvest,,https://animalcharityevaluators.org/charity-review/new-harvest/
New Roots Institute,"['Capacity Building', 'General Animal Advocacy', 'Industrial Agriculture']",https://animalcharityevaluators.org/charity-review/new-roots-institute/
Shrimp Welfare Project,"['Industrial Agriculture', 'Capacity Building']",https://animalcharityevaluators.org/charity-review/shrimp-welfare-project/
Sinergia Animal,['Industrial Agriculture'],https://animalcharityevaluators.org/charity-review/sinergia-animal/
The Good Food Institute,"['Cultured and Plant-Based Food Tech', 'Capacity Building']",https://animalcharityevaluators.org/charity-review/the-good-food-institute/
The Humane League,"['Industrial Agriculture', 'Capacity Building']",https://animalcharityevaluators.org/charity-review/the-humane-league/
Wild Animal Initiative,"['Reducing Wild Animal Suffering', 'Capacity Building']",https://animalcharityevaluators.org/charity-review/wild-animal-initiative/
xiaobuVEGAN,['General Animal Advocacy'],https://animalcharityevaluators.org/charity-review/vegans-of-shanghai/
