name,descript,eval_link
„Die Arche“ Kinderstiftung,"„Die Arche“ Kinderstiftung bietet Programmangebote für sozial benachteiligte Kinder und Jugendliche in Deutschland. Hierzu unterhält die Stiftung verschiedene Standorte, an denen Kinder und Jugendliche ein …",https://www.dzi.de/organisation/die-arche-kinderstiftung/
"(I)NTACT Mädchenhilfe, Internationale Aktion gegen die Beschneidung von Mädchen und Frauen e.V.","(I)NTACT Mädchenhilfe, Internationale Aktion gegen die Beschneidung von Mädchen und Frauen e.V. unterstützt in erster Linie Aufklärungskampagnen in verschiedenen afrikanischen Ländern. Dies geschieht in Kooperation …",https://www.dzi.de/organisation/intact-maedchenhilfe-internationale-aktion-gegen-die-beschneidung-von-maedchen-und-frauen-e-v/
24gute Taten e.V.,"Der Verein fördert verschiedene Projekte aus den Bereichen Bildung, Umwelt- und Naturschutz, Gesundheit und Versorgung. Dies realisiert die Organisation durch die jährliche Erstellung eines Adventskalenders, …",https://www.dzi.de/organisation/24gute-taten-e-v/
A.R.O e.V.  Allgemeine Repatriierungs-Organisation,,https://www.dzi.de/organisation/a-r-o-e-v-allgemeine-repatriierungs-organisation/
Abaana Afrika e.V.,"Das Hauptanliegen des Vereins ist, Kindern des ugandischen Dorfes Nyamirima den Zugang zu einer guten Bildung zu ermöglichen. Dafür fördert er den Ausbau und die …",https://www.dzi.de/organisation/abaana-afrika-e-v/
ADRA Deutschland e.V.,"ADRA Deutschland e.V. ist eine weltweit tätige Hilfsorganisation, die Projekte in der Entwicklungszusammenarbeit und der humanitären Hilfe durchführt. Die innerhalb des globalen Netzwerks eigenständig agierende …",https://www.dzi.de/organisation/adra-deutschland-e-v/
Afghanische Kinderhilfe Deutschland e.V.,Die Afghanische Kinderhilfe Deutschland e.V. unterstützt drei Tageskliniken in den Großräumen Dogh Abad (südlich von Kabul) und Deh Sabz (nordöstlich von Kabul) sowie im Westen …,https://www.dzi.de/organisation/afghanische-kinderhilfe-deutschland-e-v/
Afghanischer Frauenverein e.V.,"Der Afghanische Frauenverein e.V. unterstützt verschiedene Projekte in ländlichen Regionen Afghanistans. So finanziert er Schulen für Mädchen und Jungen, Ausbildungscenter für Frauen zu Schneiderinnen und …",https://www.dzi.de/organisation/afghanischer-frauenverein-e-v/
africa action / Deutschland e.V.,"africa action / Deutschland e. V. engagiert sich in der Entwicklungszusammenarbeit in den Bereichen Gesundheit, Bildung und Inklusion. Der Verein kooperiert mit lokalen Partnerorganisationen, welche …",https://www.dzi.de/organisation/africa-action-deutschland-e-v/
agape e.V. – Ökumenische Initiative zur Unterstützung behinderter und benachteiligter Menschen in Rumänien und anderen osteuropäischen Ländern –,"Schwerpunkt der Vereinsaktivitäten ist der Aufbau und Betrieb von Einrichtungen für Menschen mit Behinderungen, insbesondere Kinder und junge Erwachsene, sowie alte Menschen in Rumänien und …",https://www.dzi.de/organisation/agape-e-v-oekumenische-initiative-zur-unterstuetzung-behinderter-und-benachteiligter-menschen-in-rumaenien-und-anderen-osteuropaeischen-laendern/
"AIDA e.V. (Arco iris do amor, Regenbogen der Liebe) „Hilfe für bedürftige Kinder und Jugendliche in Brasilien“","Ziel des Vereins ist es, armen Menschen in Brasilien, besonders Kindern und Jugendlichen, zu einer besseren Zukunft zu verhelfen. Den Arbeitsschwerpunkt bildet das von AIDA …",https://www.dzi.de/organisation/aida-e-v-arco-iris-do-amor-regenbogen-der-liebe-hilfe-fuer-beduerftige-kinder-und-jugendliche-in-brasilien/
AKO – Aktionskreis Ostafrika e.V.,"Der AKO - Aktionskreis Ostafrika e.V. fördert in Tansania Entwicklungsprojekte vor allem in den Bereichen Gesundheitswesen, Grundversorgung sowie Bildung und Ausbildung. Dazu kooperiert der deutsche …",https://www.dzi.de/organisation/ako-aktionskreis-ostafrika-e-v/
Aktion Canchanabury e.V.,Die Aktion Canchanabury arbeitet in den Bereichen Gesundheit und Bildung und fördert jährlich etwa 20 bis 30 Projekte hauptsächlich in Afrika (vor allem in westafrikanischen …,https://www.dzi.de/organisation/aktion-canchanabury-e-v/
Aktion Deutschland Hilft e.V.,"Aktion Deutschland Hilft e.V. ist ein Zusammenschluss deutscher Hilfsorganisationen. Primäre Zielsetzung des Spendenbündnisses ist es, im Falle großer Katastrophen und Notsituationen gemeinsam und schnell Hilfe …",https://www.dzi.de/organisation/aktion-deutschland-hilft-e-v/
Aktion Friedensdorf e.V.,"Im Rahmen der Einzelfallhilfe werden Kinder aus Kriegs- und Krisengebieten in Deutschland medizinisch behandelt, die in ihren Heimatländern nicht ausreichend medizinisch versorgt werden können. Die …",https://www.dzi.de/organisation/aktion-friedensdorf-e-v/
Aktion gegen den Hunger gGmbH,"Aktion gegen den Hunger ist die deutsche Sektion von Action contre la Faim, die 1979 in Frankreich als Reaktion auf die Notlage in Afghanistan gegründet …",https://www.dzi.de/organisation/aktion-gegen-den-hunger-ggmbh/
Aktion Kindertraum gemeinnützige GmbH,"Nach eigenen Angaben unterstützt Aktion Kindertraum in erster Linie Eltern, Ärzte und Betreuer bei der Erfüllung von Wünschen bedürftiger Kinder. So ermöglicht die Gesellschaft beispielsweise …",https://www.dzi.de/organisation/aktion-kindertraum-gemeinnuetzige-gmbh/
Aktion Kinderträume – Verein der Deutschen Fleischwirtschaft e.V.,Aktion Kinderträume – Verein der Deutschen Fleischwirtschaft e.V. leistet Einzelfallhilfe durch die Unterstützung sozial benachteiligter Kinder und Jugendlicher sowie von deren Familien insbesondere durch Geld- …,https://www.dzi.de/organisation/aktion-kindertraeume-verein-der-deutschen-fleischwirtschaft-e-v/
Aktion Kleiner Prinz – Internationale Hilfe für Kinder in Not – e.V.,"Die Aktion Kleiner Prinz fördert Projekte und Einrichtungen in mehreren Ländern, beispielsweise ein Programm zur Stärkung der sozialen Fähigkeiten von Kindern und Jugendlichen in Bosnien-Herzegowina, …",https://www.dzi.de/organisation/aktion-kleiner-prinz-internationale-hilfe-fuer-kinder-in-not-e-v/
Aktion Lichtblicke e.V.,"Die Aktion Lichtblicke e.V. wird gemeinsam getragen von 45 lokalen Rundfunkanstalten in Nordrhein-Westfalen, deren Rahmenprogramm „radio NRW“, den ebenfalls in diesem Bundesland ansässigen Caritasverbänden der …",https://www.dzi.de/organisation/aktion-lichtblicke-e-v/
Aktion Mensch e.V.,Aus den Erlösen der „Aktion Mensch Lotterie“ fördert der Aktion Mensch e.V. soziale Projekte und Aktionen gemeinnütziger Organisationen im Bereich der Behindertenhilfe sowie der Kinder- …,https://www.dzi.de/organisation/aktion-mensch-e-v/
Aktion Pink Deutschland e.V.,,https://www.dzi.de/organisation/aktion-pink-deutschland-e-v/
Aktion Sühnezeichen Friedensdienste e.V.,"Die Haupttätigkeitsbereiche der Aktion Sühnezeichen Friedensdienste sind der lang-, mittel- und kurzfristige Freiwilligendienst sowie die Inlandsarbeit. Beim langfristigen Freiwilligendienst engagieren sich junge Menschen für 12 …",https://www.dzi.de/organisation/aktion-suehnezeichen-friedensdienste-e-v/
Aktionen – Stiftung für Menschen in Not,Aktionen – Stiftung für Menschen in Not unterstützt bedürftige Menschen im In- und Ausland und leistet Einzelfallhilfen in Deutschland in besonderen Notlagen. Zudem fördert sie …,https://www.dzi.de/organisation/aktionen-stiftung-fuer-menschen-in-not/
Aktionsgemeinschaft Solidarische Welt e.V.,"Die Aktionsgemeinschaft Solidarische Welt e.V. fördert kleine Selbsthilfegruppen, die sich für die Stärkung von Frauen, den Schutz der Umwelt und die Wahrung der Menschenrechte einsetzen …",https://www.dzi.de/organisation/aktionsgemeinschaft-solidarische-welt-e-v/
Aktionsgruppe Kinder in Not e.V.,"Die Arbeitsschwerpunkte der Aktionsgruppe Kinder in Not e.V. liegen in den Bereichen Gesundheit, Bildung und Verbesserung der Lebensumstände von Kindern und Jugendlichen. Die Organisation unterstützt …",https://www.dzi.de/organisation/aktionsgruppe-kinder-in-not-e-v/
Aktionskreis Pater Beda für Entwicklungsarbeit e.V.,"Der Aktionskreis Pater Beda für Entwicklungsarbeit e.V. unterstützt auf der Basis der Hilfe zur Selbsthilfe soziale, pastorale und humanitäre Projekte in Brasilien, überwiegend im Nordosten …",https://www.dzi.de/organisation/aktionskreis-pater-beda-fuer-entwicklungsarbeit-e-v/
Aktive Bürgerhilfe UG,,https://www.dzi.de/organisation/aktive-buergerhilfe-ug/
Albert Schweitzer Stiftung für unsere Mitwelt,Die Albert Schweitzer Stiftung für unsere Mitwelt setzt sich gegen die Nutzung von Tieren und Tierprodukten als Nahrungsmittel ein. Hierfür führt die Organisation unter anderem …,https://www.dzi.de/organisation/albert-schweitzer-stiftung-fuer-unsere-mitwelt/
Albert-Schweitzer-Familienwerk Sachsen-Anhalt e.V.,"Der Verein unterhält neben dem dezentral geführten Kinderdorf Zerbst mit Kinderdorfhäusern in mehreren Orten der näheren Umgebung eine Reihe weiterer Einrichtungen der Kinder-, Jugend- und …",https://www.dzi.de/organisation/albert-schweitzer-familienwerk-sachsen-anhalt-e-v/
Albert-Schweitzer-Kinderdörfer und Familienwerke e.V. Bundesverband,"Der Bundeverband der Albert-Schweitzer-Kinderdörfer und Familienwerke fungiert als Dachverband, Interessenvertretung und Förderkörperschaft für die an ihn angeschlossenen Vereine. Deutschlandweit bieten zehn Vereine soziale Hilfen in …",https://www.dzi.de/organisation/albert-schweitzer-kinderdoerfer-und-familienwerke-e-v-bundesverband/
all4africa e.V.,,https://www.dzi.de/organisation/all4africa-e-v/
Allgemeiner Blinden- und Sehbehindertenverein Berlin gegr. 1874 e.V. – älteste Selbsthilfeorganisation der Blinden und Sehbehinderten,Arbeitsschwerpunkt des Vereins ist die Beratung blinder und sehbehinderter Menschen sowie ihrer Angehörigen. In diesem Zusammenhang unterstützt der Allgemeine Blinden- und Sehbehindertenverein Berlin (ABSV) die …,https://www.dzi.de/organisation/allgemeiner-blinden-und-sehbehindertenverein-berlin-gegr-1874-e-v-aelteste-selbsthilfeorganisation-der-blinden-und-sehbehinderten/
Alzheimer Gesellschaft Berlin e.V. Selbsthilfe Demenz,Einen Schwerpunkt der Vereinsaktivitäten bildet die Beratung der Angehörigen von Demenzkranken. Im Rahmen des Projekts „Selbsthilfeinitiative zur Unterstützung von Angehörigen Demenzkranker“ werden Anfragen Rat suchender …,https://www.dzi.de/organisation/alzheimer-gesellschaft-berlin-e-v-selbsthilfe-demenz/
Andheri – Kinder- und Leprahilfe e.V. Dülmen,Die Andheri – Kinder- und Leprahilfe e.V. Dülmen unterstützt die katholische Schwesterngemeinschaft „Society of the Helpers of Mary“ mit Sitz im Stadtteil Andheri von Mumbai. …,https://www.dzi.de/organisation/andheri-kinder-und-leprahilfe-e-v-duelmen/
Andheri Hilfe e.V.,Die Andheri Hilfe e.V. fördert eine Vielzahl von Projekten in Indien und Bangladesch. Dazu arbeitet der Verein unter anderem eng mit dem ortsansässigen Andheri-Trust Indien …,https://www.dzi.de/organisation/andheri-hilfe-e-v/
Arbeitskreis EINE WELT St. Georg Köln-Weiß e.V.,Der Arbeitskreis EINE WELT St. Georg Köln-Weiß e.V. ist aus einer Initiative junger Frauen und Männer der katholischen Pfarrgemeinde St. Georg in Köln-Weiß hervorgegangen. Er …,https://www.dzi.de/organisation/arbeitskreis-eine-welt-st-georg-koeln-weiss-e-v/
arche noVa – Initiative für Menschen in Not e.V.,"arche noVa – Initiative für Menschen in Not e.V. leistet humanitäre Not- und Wiederaufbauhilfe, Katastrophenvorsorge und engagiert sich in langfristigen Projekten der Entwicklungszusammenarbeit. Nach dem …",https://www.dzi.de/organisation/arche-nova-initiative-fuer-menschen-in-not-e-v/
