name,descript,eval_link,topic,countries,evaluation_textbased,evaluation_tag,website
„Die Arche“ Kinderstiftung,"„Die Arche“ Kinderstiftung bietet Programmangebote für sozial benachteiligte Kinder und Jugendliche in Deutschland. Hierzu unterhält die Stiftung verschiedene Standorte, an denen Kinder und Jugendliche ein …",https://www.dzi.de/organisation/die-arche-kinderstiftung/,"['Familienfürsorge', 'Kinder- und Jugendhilfe']",['Deutschland'],Das Auskunftsverhalten der Organisation gegenüber dem DZI ist offen. Bei der Durchsicht der vorliegenden Materialien haben sich für das DZI bisher keine kritischen Anhaltspunkte ergeben.,DZI-Einschätzung: neutral,http://www.kinderprojekt-arche.de
"(I)NTACT Mädchenhilfe, Internationale Aktion gegen die Beschneidung von Mädchen und Frauen e.V.","(I)NTACT Mädchenhilfe, Internationale Aktion gegen die Beschneidung von Mädchen und Frauen e.V. unterstützt in erster Linie Aufklärungskampagnen in verschiedenen afrikanischen Ländern. Dies geschieht in Kooperation …",https://www.dzi.de/organisation/intact-maedchenhilfe-internationale-aktion-gegen-die-beschneidung-von-maedchen-und-frauen-e-v/,"['Bildungs- und Kampagnenarbeit', 'Frauenförderung', 'Gesundheitshilfe']","['Benin', 'Burkina Faso', 'Ghana', 'Senegal', 'Togo']",Das Auskunftsverhalten gegenüber dem DZI ist offen. Bei der Durchsicht der vorliegenden Materialien haben sich für das DZI bisher keine kritischen Anhaltspunkte ergeben.,DZI-Einschätzung: neutral,http://www.intact-ev.de
24gute Taten e.V.,"Der Verein fördert verschiedene Projekte aus den Bereichen Bildung, Umwelt- und Naturschutz, Gesundheit und Versorgung. Dies realisiert die Organisation durch die jährliche Erstellung eines Adventskalenders, …",https://www.dzi.de/organisation/24gute-taten-e-v/,"['Bildung', 'Entwicklungszusammenarbeit', 'Gesundheitshilfe', 'Umwelt- und Naturschutz']",['weltweit'],Das Auskunftsverhalten gegenüber dem DZI ist offen. Bei der Durchsicht der vorliegenden Materialien haben sich für das DZI bisher keine kritischen Anhaltspunkte ergeben.,DZI-Einschätzung: neutral,http://www.24-gute-taten.de
A.R.O e.V.  Allgemeine Repatriierungs-Organisation,,https://www.dzi.de/organisation/a-r-o-e-v-allgemeine-repatriierungs-organisation/,[],[],Laut Vereinsregisterausdruck des Amtsgerichts Montabaur ist der Verein wegen des Mangels einer wesentlichen Voraussetzung der Eintragung gemäß § 395 FamFG am 28.08.2015 von Amts wegen gelöscht worden. Das Registerblatt ist geschlossen.,DZI-Einschätzung: neutral,http://www.aroev.com
Abaana Afrika e.V.,"Das Hauptanliegen des Vereins ist, Kindern des ugandischen Dorfes Nyamirima den Zugang zu einer guten Bildung zu ermöglichen. Dafür fördert er den Ausbau und die …",https://www.dzi.de/organisation/abaana-afrika-e-v/,"['Bildung', 'Familienfürsorge', 'Gesundheitshilfe', 'Kinder- und Jugendhilfe']",['Uganda'],Das Auskunftsverhalten gegenüber dem DZI ist offen. Bei der Durchsicht der vorliegenden Materialien haben sich für das DZI bisher keine kritischen Anhaltspunkte ergeben.,DZI-Einschätzung: neutral,http://www.abaana.de/
ADRA Deutschland e.V.,"ADRA Deutschland e.V. ist eine weltweit tätige Hilfsorganisation, die Projekte in der Entwicklungszusammenarbeit und der humanitären Hilfe durchführt. Die innerhalb des globalen Netzwerks eigenständig agierende …",https://www.dzi.de/organisation/adra-deutschland-e-v/,"['Bildung', 'Bildungs- und Kampagnenarbeit', 'Entwicklungszusammenarbeit', 'Flüchtlingsfürsorge', 'Gesundheitshilfe', 'Katastrophenhilfe', 'Kinder- und Jugendhilfe', 'Ukraine-Nothilfe', 'Umwelt- und Naturschutz']","['Afghanistan', 'Äthiopien', 'Burkina Faso', 'Burundi', 'Deutschland', 'Fidschi', 'Indien', 'Indonesien', 'Jemen', 'Kambodscha', 'Kenia', 'Laos', 'Libanon', 'Madagaskar', 'Mali', 'Mosambik', 'Myanmar', 'Peru', 'Philippinen', 'Serbien', 'Somalia', 'Thailand', 'Togo', 'Ukraine']","ADRA Deutschland e.V., Darmstadt, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.adra.de
Afghanische Kinderhilfe Deutschland e.V.,Die Afghanische Kinderhilfe Deutschland e.V. unterstützt drei Tageskliniken in den Großräumen Dogh Abad (südlich von Kabul) und Deh Sabz (nordöstlich von Kabul) sowie im Westen …,https://www.dzi.de/organisation/afghanische-kinderhilfe-deutschland-e-v/,"['Bildung', 'Gesundheitshilfe', 'Kinder- und Jugendhilfe']",['Afghanistan'],"Afghanische Kinderhilfe Deutschland e.V., Düsseldorf, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.akhd.de
Afghanischer Frauenverein e.V.,"Der Afghanische Frauenverein e.V. unterstützt verschiedene Projekte in ländlichen Regionen Afghanistans. So finanziert er Schulen für Mädchen und Jungen, Ausbildungscenter für Frauen zu Schneiderinnen und …",https://www.dzi.de/organisation/afghanischer-frauenverein-e-v/,"['Bildung', 'Bildungs- und Kampagnenarbeit', 'Einzelfallhilfe', 'Entwicklungszusammenarbeit', 'Familienfürsorge', 'Flüchtlingsfürsorge', 'Frauenförderung', 'Gesundheitshilfe', 'Katastrophenhilfe', 'Kinder- und Jugendhilfe', 'Kultur']","['Afghanistan', 'Deutschland']","Dem Afghanischen Frauenverein e.V., Hamburg, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.afghanischer-frauenverein.de
africa action / Deutschland e.V.,"africa action / Deutschland e. V. engagiert sich in der Entwicklungszusammenarbeit in den Bereichen Gesundheit, Bildung und Inklusion. Der Verein kooperiert mit lokalen Partnerorganisationen, welche …",https://www.dzi.de/organisation/africa-action-deutschland-e-v/,"['Behindertenhilfe', 'Bildung', 'Entwicklungszusammenarbeit', 'Gesundheitshilfe']","['Äthiopien', 'Burkina Faso', 'Gambia', 'Ghana', 'Kamerun', 'Kenia', 'Mali', 'Niger', 'Sierra Leone', 'Südafrika', 'Tansania', 'Togo']","africa action / Deutschland e.V., Bergheim, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.africa-action.de
agape e.V. – Ökumenische Initiative zur Unterstützung behinderter und benachteiligter Menschen in Rumänien und anderen osteuropäischen Ländern –,"Schwerpunkt der Vereinsaktivitäten ist der Aufbau und Betrieb von Einrichtungen für Menschen mit Behinderungen, insbesondere Kinder und junge Erwachsene, sowie alte Menschen in Rumänien und …",https://www.dzi.de/organisation/agape-e-v-oekumenische-initiative-zur-unterstuetzung-behinderter-und-benachteiligter-menschen-in-rumaenien-und-anderen-osteuropaeischen-laendern/,"['Altenhilfe', 'Behindertenhilfe', 'Einzelfallhilfe', 'Familienfürsorge', 'Kinder- und Jugendhilfe', 'Menschenrechte', 'Völkerverständigung']","['Republik Moldau', 'Rumänien']","Dem Verein agape e.V. - Ökumenische Initiative zur Unterstützung behinderter und benachteiligter Menschen in Rumänien und anderen osteuropäischen Ländern -, Bad Salzuflen, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.agape-kinder.de
